"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 16:57:00,3.38 Gb/s,3.62 Gb/s,3.58 Gb/s,3.75 Gb/s
2025-05-02 16:57:30,3.36 Gb/s,3.50 Gb/s,3.81 Gb/s,3.73 Gb/s
2025-05-02 16:58:00,3.48 Gb/s,3.70 Gb/s,3.96 Gb/s,3.92 Gb/s
2025-05-02 16:58:30,3.85 Gb/s,3.69 Gb/s,3.69 Gb/s,3.79 Gb/s
2025-05-02 16:59:00,3.21 Gb/s,3.65 Gb/s,3.54 Gb/s,3.84 Gb/s
2025-05-02 16:59:30,3.28 Gb/s,3.61 Gb/s,3.59 Gb/s,3.76 Gb/s
2025-05-02 17:00:00,3.57 Gb/s,3.74 Gb/s,3.61 Gb/s,3.79 Gb/s
2025-05-02 17:00:30,3.28 Gb/s,3.86 Gb/s,3.85 Gb/s,4.28 Gb/s
2025-05-02 17:01:00,3.66 Gb/s,4.07 Gb/s,3.81 Gb/s,4.05 Gb/s
2025-05-02 17:01:30,3.57 Gb/s,3.98 Gb/s,3.91 Gb/s,4.06 Gb/s
2025-05-02 17:02:00,3.61 Gb/s,4.05 Gb/s,3.84 Gb/s,4.00 Gb/s
2025-05-02 17:02:30,3.56 Gb/s,3.84 Gb/s,3.72 Gb/s,3.77 Gb/s
2025-05-02 17:03:00,3.35 Gb/s,3.69 Gb/s,3.72 Gb/s,3.89 Gb/s
2025-05-02 17:03:30,3.51 Gb/s,3.72 Gb/s,3.67 Gb/s,3.85 Gb/s
2025-05-02 17:04:00,3.38 Gb/s,3.60 Gb/s,3.62 Gb/s,3.83 Gb/s
2025-05-02 17:04:30,3.60 Gb/s,3.77 Gb/s,3.74 Gb/s,3.77 Gb/s
2025-05-02 17:05:00,3.66 Gb/s,3.75 Gb/s,3.77 Gb/s,3.81 Gb/s
2025-05-02 17:05:30,3.48 Gb/s,3.64 Gb/s,3.79 Gb/s,3.93 Gb/s
2025-05-02 17:06:00,3.69 Gb/s,3.85 Gb/s,3.79 Gb/s,3.89 Gb/s
2025-05-02 17:06:30,3.38 Gb/s,3.83 Gb/s,3.75 Gb/s,4.05 Gb/s
2025-05-02 17:07:00,3.37 Gb/s,3.73 Gb/s,3.75 Gb/s,3.77 Gb/s
2025-05-02 17:07:30,3.08 Gb/s,3.69 Gb/s,3.64 Gb/s,3.85 Gb/s
2025-05-02 17:08:00,2.79 Gb/s,3.32 Gb/s,3.66 Gb/s,3.74 Gb/s
2025-05-02 17:08:30,3.20 Gb/s,3.42 Gb/s,3.61 Gb/s,3.86 Gb/s
2025-05-02 17:09:00,3.26 Gb/s,3.48 Gb/s,3.60 Gb/s,4.28 Gb/s
2025-05-02 17:09:30,3.67 Gb/s,3.92 Gb/s,4.14 Gb/s,3.91 Gb/s
2025-05-02 17:10:00,3.79 Gb/s,4.13 Gb/s,3.82 Gb/s,4.44 Gb/s
2025-05-02 17:10:30,3.58 Gb/s,3.96 Gb/s,3.89 Gb/s,4.26 Gb/s
2025-05-02 17:11:00,3.77 Gb/s,4.14 Gb/s,3.84 Gb/s,3.89 Gb/s
2025-05-02 17:11:30,3.51 Gb/s,3.78 Gb/s,3.71 Gb/s,4.11 Gb/s
2025-05-02 17:12:00,3.56 Gb/s,3.90 Gb/s,3.60 Gb/s,3.72 Gb/s
2025-05-02 17:12:30,3.44 Gb/s,3.76 Gb/s,3.62 Gb/s,3.74 Gb/s
2025-05-02 17:13:00,3.17 Gb/s,3.53 Gb/s,3.59 Gb/s,3.83 Gb/s
2025-05-02 17:13:30,3.14 Gb/s,3.63 Gb/s,3.62 Gb/s,3.78 Gb/s
2025-05-02 17:14:00,3.25 Gb/s,3.66 Gb/s,3.67 Gb/s,3.89 Gb/s
2025-05-02 17:14:30,3.42 Gb/s,3.86 Gb/s,3.77 Gb/s,3.82 Gb/s
2025-05-02 17:15:00,3.66 Gb/s,3.86 Gb/s,3.90 Gb/s,3.97 Gb/s
2025-05-02 17:15:30,3.67 Gb/s,4.10 Gb/s,3.72 Gb/s,3.90 Gb/s
2025-05-02 17:16:00,3.64 Gb/s,3.94 Gb/s,3.66 Gb/s,3.80 Gb/s
2025-05-02 17:16:30,3.33 Gb/s,3.69 Gb/s,3.59 Gb/s,3.89 Gb/s
2025-05-02 17:17:00,3.45 Gb/s,3.71 Gb/s,3.48 Gb/s,3.66 Gb/s
2025-05-02 17:17:30,3.28 Gb/s,3.74 Gb/s,3.59 Gb/s,4.03 Gb/s
2025-05-02 17:18:00,3.38 Gb/s,3.79 Gb/s,3.70 Gb/s,3.98 Gb/s
2025-05-02 17:18:30,3.55 Gb/s,3.94 Gb/s,3.68 Gb/s,4.08 Gb/s
2025-05-02 17:19:00,3.45 Gb/s,3.77 Gb/s,3.97 Gb/s,4.16 Gb/s
2025-05-02 17:19:30,3.64 Gb/s,3.92 Gb/s,3.82 Gb/s,4.03 Gb/s
2025-05-02 17:20:00,3.51 Gb/s,3.92 Gb/s,3.74 Gb/s,4.26 Gb/s
2025-05-02 17:20:30,3.23 Gb/s,3.60 Gb/s,3.71 Gb/s,3.89 Gb/s
2025-05-02 17:21:00,3.28 Gb/s,3.77 Gb/s,3.36 Gb/s,3.57 Gb/s
2025-05-02 17:21:30,2.91 Gb/s,3.44 Gb/s,3.29 Gb/s,3.37 Gb/s
2025-05-02 17:22:00,2.85 Gb/s,3.31 Gb/s,3.13 Gb/s,2.99 Gb/s
2025-05-02 17:22:30,2.79 Gb/s,3.36 Gb/s,3.03 Gb/s,3.25 Gb/s
2025-05-02 17:23:00,2.98 Gb/s,3.43 Gb/s,2.95 Gb/s,3.33 Gb/s
2025-05-02 17:23:30,2.62 Gb/s,3.15 Gb/s,2.91 Gb/s,3.33 Gb/s
2025-05-02 17:24:00,2.86 Gb/s,2.97 Gb/s,2.95 Gb/s,3.39 Gb/s
2025-05-02 17:24:30,2.86 Gb/s,2.83 Gb/s,2.98 Gb/s,3.25 Gb/s
2025-05-02 17:25:00,2.76 Gb/s,2.56 Gb/s,3.11 Gb/s,3.37 Gb/s
2025-05-02 17:25:30,3.10 Gb/s,2.72 Gb/s,3.29 Gb/s,3.57 Gb/s
2025-05-02 17:26:00,3.25 Gb/s,2.80 Gb/s,3.37 Gb/s,3.69 Gb/s
2025-05-02 17:26:30,3.22 Gb/s,2.97 Gb/s,3.56 Gb/s,3.82 Gb/s
2025-05-02 17:27:00,3.54 Gb/s,3.11 Gb/s,3.49 Gb/s,3.77 Gb/s
2025-05-02 17:27:30,3.30 Gb/s,3.29 Gb/s,3.78 Gb/s,3.80 Gb/s
2025-05-02 17:28:00,3.46 Gb/s,3.68 Gb/s,3.83 Gb/s,3.76 Gb/s
2025-05-02 17:28:30,3.66 Gb/s,3.91 Gb/s,3.91 Gb/s,3.86 Gb/s
2025-05-02 17:29:00,3.64 Gb/s,3.81 Gb/s,4.09 Gb/s,3.88 Gb/s
2025-05-02 17:29:30,3.76 Gb/s,4.13 Gb/s,3.93 Gb/s,3.96 Gb/s
2025-05-02 17:30:00,3.59 Gb/s,3.96 Gb/s,3.86 Gb/s,4.01 Gb/s
2025-05-02 17:30:30,3.52 Gb/s,3.90 Gb/s,3.91 Gb/s,3.96 Gb/s
2025-05-02 17:31:00,3.67 Gb/s,3.96 Gb/s,3.82 Gb/s,4.07 Gb/s
2025-05-02 17:31:30,3.54 Gb/s,3.75 Gb/s,4.01 Gb/s,3.88 Gb/s
2025-05-02 17:32:00,3.47 Gb/s,3.91 Gb/s,3.91 Gb/s,3.99 Gb/s
2025-05-02 17:32:30,3.56 Gb/s,3.81 Gb/s,4.09 Gb/s,3.98 Gb/s
2025-05-02 17:33:00,3.54 Gb/s,3.89 Gb/s,4.12 Gb/s,3.81 Gb/s
2025-05-02 17:33:30,3.50 Gb/s,3.84 Gb/s,3.95 Gb/s,3.94 Gb/s
2025-05-02 17:34:00,3.76 Gb/s,3.87 Gb/s,3.86 Gb/s,3.62 Gb/s
2025-05-02 17:34:30,3.57 Gb/s,3.66 Gb/s,3.83 Gb/s,3.87 Gb/s
2025-05-02 17:35:00,3.68 Gb/s,3.94 Gb/s,3.85 Gb/s,3.95 Gb/s
2025-05-02 17:35:30,3.76 Gb/s,3.70 Gb/s,3.87 Gb/s,4.21 Gb/s
2025-05-02 17:36:00,3.64 Gb/s,3.78 Gb/s,3.85 Gb/s,4.25 Gb/s
2025-05-02 17:36:30,3.61 Gb/s,3.91 Gb/s,3.95 Gb/s,4.07 Gb/s
2025-05-02 17:37:00,3.66 Gb/s,3.76 Gb/s,3.72 Gb/s,4.17 Gb/s
2025-05-02 17:37:30,3.52 Gb/s,3.87 Gb/s,3.98 Gb/s,4.10 Gb/s
2025-05-02 17:38:00,3.66 Gb/s,3.64 Gb/s,3.92 Gb/s,3.96 Gb/s
2025-05-02 17:38:30,3.39 Gb/s,3.39 Gb/s,3.62 Gb/s,3.83 Gb/s
2025-05-02 17:39:00,3.35 Gb/s,3.42 Gb/s,3.58 Gb/s,3.90 Gb/s
2025-05-02 17:39:30,3.35 Gb/s,3.48 Gb/s,3.57 Gb/s,3.84 Gb/s
2025-05-02 17:40:00,3.29 Gb/s,3.59 Gb/s,3.80 Gb/s,3.89 Gb/s
2025-05-02 17:40:30,3.48 Gb/s,3.68 Gb/s,3.80 Gb/s,4.08 Gb/s
2025-05-02 17:41:00,3.40 Gb/s,3.74 Gb/s,3.93 Gb/s,3.84 Gb/s
2025-05-02 17:41:30,3.57 Gb/s,3.83 Gb/s,3.92 Gb/s,3.83 Gb/s
2025-05-02 17:42:00,3.44 Gb/s,3.68 Gb/s,3.86 Gb/s,3.80 Gb/s
2025-05-02 17:42:30,3.51 Gb/s,3.78 Gb/s,4.06 Gb/s,3.57 Gb/s
2025-05-02 17:43:00,3.47 Gb/s,3.73 Gb/s,3.83 Gb/s,3.76 Gb/s
2025-05-02 17:43:30,3.45 Gb/s,3.73 Gb/s,3.91 Gb/s,3.86 Gb/s
2025-05-02 17:44:00,3.71 Gb/s,3.97 Gb/s,3.91 Gb/s,3.73 Gb/s
2025-05-02 17:44:30,3.49 Gb/s,3.71 Gb/s,3.76 Gb/s,3.93 Gb/s
2025-05-02 17:45:00,3.41 Gb/s,3.54 Gb/s,3.70 Gb/s,3.96 Gb/s
2025-05-02 17:45:30,3.37 Gb/s,3.59 Gb/s,3.22 Gb/s,3.68 Gb/s
2025-05-02 17:46:00,2.90 Gb/s,3.51 Gb/s,3.12 Gb/s,3.54 Gb/s
2025-05-02 17:46:30,2.79 Gb/s,3.23 Gb/s,3.06 Gb/s,3.52 Gb/s
2025-05-02 17:47:00,2.67 Gb/s,3.33 Gb/s,3.10 Gb/s,2.91 Gb/s
2025-05-02 17:47:30,2.51 Gb/s,3.09 Gb/s,2.92 Gb/s,3.07 Gb/s
2025-05-02 17:48:00,2.46 Gb/s,3.09 Gb/s,2.92 Gb/s,2.63 Gb/s
2025-05-02 17:48:30,2.55 Gb/s,3.00 Gb/s,2.90 Gb/s,2.39 Gb/s
2025-05-02 17:49:00,2.59 Gb/s,3.11 Gb/s,2.84 Gb/s,2.53 Gb/s
2025-05-02 17:49:30,2.64 Gb/s,3.20 Gb/s,3.11 Gb/s,2.75 Gb/s
2025-05-02 17:50:00,2.91 Gb/s,3.36 Gb/s,3.25 Gb/s,2.78 Gb/s
2025-05-02 17:50:30,2.93 Gb/s,3.31 Gb/s,3.39 Gb/s,3.20 Gb/s
2025-05-02 17:51:00,2.91 Gb/s,3.36 Gb/s,3.70 Gb/s,3.25 Gb/s
2025-05-02 17:51:30,3.07 Gb/s,3.30 Gb/s,3.60 Gb/s,3.59 Gb/s
2025-05-02 17:52:00,3.09 Gb/s,3.35 Gb/s,3.67 Gb/s,3.50 Gb/s
2025-05-02 17:52:30,3.25 Gb/s,3.44 Gb/s,3.51 Gb/s,3.67 Gb/s
2025-05-02 17:53:00,3.29 Gb/s,3.51 Gb/s,3.74 Gb/s,3.62 Gb/s
2025-05-02 17:53:30,3.53 Gb/s,3.56 Gb/s,3.75 Gb/s,3.97 Gb/s
2025-05-02 17:54:00,3.53 Gb/s,3.64 Gb/s,3.66 Gb/s,4.01 Gb/s
2025-05-02 17:54:30,3.59 Gb/s,3.59 Gb/s,3.88 Gb/s,3.92 Gb/s
2025-05-02 17:55:00,3.46 Gb/s,3.39 Gb/s,3.49 Gb/s,3.81 Gb/s
2025-05-02 17:55:30,3.51 Gb/s,3.12 Gb/s,3.52 Gb/s,3.75 Gb/s
2025-05-02 17:56:00,3.48 Gb/s,3.13 Gb/s,3.57 Gb/s,3.82 Gb/s
2025-05-02 17:56:30,3.52 Gb/s,2.94 Gb/s,3.44 Gb/s,3.87 Gb/s
2025-05-02 17:57:00,3.53 Gb/s,3.34 Gb/s,3.66 Gb/s,3.82 Gb/s
2025-05-02 17:57:30,3.62 Gb/s,3.38 Gb/s,3.74 Gb/s,4.01 Gb/s
2025-05-02 17:58:00,3.58 Gb/s,3.72 Gb/s,3.77 Gb/s,3.86 Gb/s
2025-05-02 17:58:30,3.69 Gb/s,3.86 Gb/s,3.84 Gb/s,4.05 Gb/s
2025-05-02 17:59:00,3.63 Gb/s,3.72 Gb/s,3.82 Gb/s,3.92 Gb/s
2025-05-02 17:59:30,3.51 Gb/s,3.99 Gb/s,3.92 Gb/s,4.11 Gb/s
2025-05-02 18:00:00,3.81 Gb/s,3.94 Gb/s,3.83 Gb/s,4.12 Gb/s
2025-05-02 18:00:30,3.63 Gb/s,3.82 Gb/s,4.02 Gb/s,4.17 Gb/s
2025-05-02 18:01:00,3.66 Gb/s,4.22 Gb/s,3.79 Gb/s,4.26 Gb/s
2025-05-02 18:01:30,3.95 Gb/s,3.82 Gb/s,3.91 Gb/s,4.02 Gb/s
2025-05-02 18:02:00,3.51 Gb/s,3.90 Gb/s,3.82 Gb/s,4.01 Gb/s
2025-05-02 18:02:30,3.80 Gb/s,3.86 Gb/s,3.92 Gb/s,4.06 Gb/s
2025-05-02 18:03:00,3.76 Gb/s,3.81 Gb/s,3.77 Gb/s,4.11 Gb/s
2025-05-02 18:03:30,3.62 Gb/s,4.02 Gb/s,3.88 Gb/s,4.16 Gb/s
2025-05-02 18:04:00,3.73 Gb/s,3.78 Gb/s,3.73 Gb/s,3.89 Gb/s
2025-05-02 18:04:30,3.09 Gb/s,3.44 Gb/s,3.51 Gb/s,3.62 Gb/s
2025-05-02 18:05:00,3.19 Gb/s,3.71 Gb/s,3.54 Gb/s,3.61 Gb/s
2025-05-02 18:05:30,3.09 Gb/s,3.36 Gb/s,3.52 Gb/s,3.62 Gb/s
2025-05-02 18:06:00,3.39 Gb/s,3.70 Gb/s,3.76 Gb/s,3.80 Gb/s
2025-05-02 18:06:30,3.77 Gb/s,3.91 Gb/s,3.98 Gb/s,3.88 Gb/s
2025-05-02 18:07:00,3.61 Gb/s,3.75 Gb/s,3.98 Gb/s,4.11 Gb/s
2025-05-02 18:07:30,3.90 Gb/s,4.23 Gb/s,4.02 Gb/s,4.19 Gb/s
2025-05-02 18:08:00,3.99 Gb/s,3.99 Gb/s,4.06 Gb/s,4.11 Gb/s
2025-05-02 18:08:30,3.59 Gb/s,3.89 Gb/s,4.04 Gb/s,4.23 Gb/s
2025-05-02 18:09:00,3.77 Gb/s,4.18 Gb/s,3.87 Gb/s,4.08 Gb/s
2025-05-02 18:09:30,3.63 Gb/s,3.93 Gb/s,3.93 Gb/s,4.07 Gb/s
2025-05-02 18:10:00,3.48 Gb/s,3.98 Gb/s,3.69 Gb/s,4.06 Gb/s
2025-05-02 18:10:30,3.82 Gb/s,3.84 Gb/s,3.78 Gb/s,4.16 Gb/s
2025-05-02 18:11:00,3.52 Gb/s,3.73 Gb/s,3.73 Gb/s,3.93 Gb/s
2025-05-02 18:11:30,3.53 Gb/s,3.77 Gb/s,3.81 Gb/s,3.95 Gb/s
2025-05-02 18:12:00,3.35 Gb/s,3.55 Gb/s,3.73 Gb/s,3.88 Gb/s
2025-05-02 18:12:30,3.22 Gb/s,3.78 Gb/s,3.62 Gb/s,3.85 Gb/s
2025-05-02 18:13:00,3.23 Gb/s,3.73 Gb/s,3.53 Gb/s,3.92 Gb/s
2025-05-02 18:13:30,3.12 Gb/s,3.68 Gb/s,3.24 Gb/s,4.00 Gb/s
2025-05-02 18:14:00,3.03 Gb/s,3.63 Gb/s,3.19 Gb/s,3.91 Gb/s
2025-05-02 18:14:30,2.92 Gb/s,3.48 Gb/s,3.24 Gb/s,3.55 Gb/s
2025-05-02 18:15:00,2.98 Gb/s,3.46 Gb/s,3.19 Gb/s,3.50 Gb/s
2025-05-02 18:15:30,3.00 Gb/s,3.38 Gb/s,3.05 Gb/s,3.10 Gb/s
2025-05-02 18:16:00,3.01 Gb/s,3.46 Gb/s,3.01 Gb/s,3.08 Gb/s
2025-05-02 18:16:30,2.82 Gb/s,3.22 Gb/s,3.13 Gb/s,3.12 Gb/s
2025-05-02 18:17:00,2.91 Gb/s,3.23 Gb/s,3.19 Gb/s,2.68 Gb/s
2025-05-02 18:17:30,2.79 Gb/s,3.30 Gb/s,3.28 Gb/s,2.71 Gb/s
2025-05-02 18:18:00,2.83 Gb/s,3.44 Gb/s,3.33 Gb/s,2.87 Gb/s
2025-05-02 18:18:30,2.78 Gb/s,3.42 Gb/s,3.51 Gb/s,2.95 Gb/s
2025-05-02 18:19:00,3.00 Gb/s,3.32 Gb/s,3.56 Gb/s,3.33 Gb/s
2025-05-02 18:19:30,3.15 Gb/s,3.61 Gb/s,3.58 Gb/s,3.55 Gb/s
2025-05-02 18:20:00,3.13 Gb/s,3.64 Gb/s,3.60 Gb/s,3.62 Gb/s
2025-05-02 18:20:30,3.41 Gb/s,3.72 Gb/s,3.55 Gb/s,3.86 Gb/s
2025-05-02 18:21:00,3.44 Gb/s,3.63 Gb/s,3.23 Gb/s,3.69 Gb/s
2025-05-02 18:21:30,3.41 Gb/s,3.49 Gb/s,3.27 Gb/s,3.78 Gb/s
2025-05-02 18:22:00,3.45 Gb/s,3.48 Gb/s,3.28 Gb/s,3.61 Gb/s
2025-05-02 18:22:30,3.44 Gb/s,3.54 Gb/s,3.30 Gb/s,3.56 Gb/s